Point_ID,Point_Elevation (m), Flight_Altitude (m),GSD (cm),Flight_Speed (m/s),Nadir_Angle (deg),Overlap_Front (%),Overlap_Side (%),Terrain_Type,Land_Cover,Error_X (cm),Error_Y (cm),Error_Z (cm)
D16,385.4658,60,1.69,4,90,80,70,1,2,0.05,-0.53,0.64
E15,380.358,60,1.69,4,90,80,70,1,1,-0.9,-0.72,0.35
A013,381.1133,60,1.69,4,90,80,70,0,0,0.7,-0.05,-0.49
A11,384.4942,60,1.69,4,90,80,70,0,3,0.34,0.12,0.79
D11,384.8135,60,1.69,4,90,80,70,1,3,0.42,0.48,1.17
B12,358.4024,60,1.69,4,90,80,70,0,3,-0.14,0.72,-0.2
F12,370.1451,60,1.69,4,90,80,70,0,0,0.2,0.09,-0.26
H12,389.1194,60,1.69,4,90,80,70,1,1,0.38,-0.15,-0.68
B13,384.5465,60,1.69,4,90,80,70,0,0,0.52,-0.29,-0.41
D13,377.724,60,1.69,4,90,80,70,1,1,0.15,-0.9,-1.1
A14,391.2985,60,1.69,4,90,80,70,1,1,0.68,0.09,-0.24
C14,393.2008,60,1.69,4,90,80,70,0,0,-0.42,-0.22,1.47
A15,379.5951,60,1.69,4,90,80,70,0,1,-0.42,0.49,-0.76
D15,372.5182,60,1.69,4,90,80,70,1,1,-0.73,0.35,1.18
A16,405.1832,60,1.69,4,90,80,70,1,2,0.64,-0.87,1.25
A17,407.9915,60,1.69,4,90,80,70,1,2,0.17,-0.38,-1.03
B17,406.0496,60,1.69,4,90,80,70,1,2,0.75,-0.21,-0.53
C17,400.3819,60,1.69,4,90,80,70,0,0,-0.01,-0.51,1.62
B19,374.0606,60,1.69,4,90,80,70,0,0,0.38,-0.23,1.08
A20,378.3628,60,1.69,4,90,80,70,0,0,-0.36,-0.56,0.59
SG11,392.1427,60,1.69,4,90,80,70,1,2,0.16,-0.61,0.15
D16,385.4658,70,1.96,4,90,80,70,1,2,-0.26,-0.11,1.15
E15,380.358,70,1.96,4,90,80,70,1,1,-0.16,0.19,1.03
A013,381.1133,70,1.96,4,90,80,70,0,0,0.16,-0.77,-0.24
A11,384.4942,70,1.96,4,90,80,70,0,3,-0.65,0.34,1.35
D11,384.8135,70,1.96,4,90,80,70,1,3,0.79,-0.82,1.99
B12,358.4024,70,1.96,4,90,80,70,0,3,-0.64,0,0
F12,370.1451,70,1.96,4,90,80,70,0,0,0.2,-0.89,-0.15
H12,389.1194,70,1.96,4,90,80,70,1,1,-0.54,0.11,-1.04
B13,384.5465,70,1.96,4,90,80,70,0,0,-0.05,-0.18,0.36
D13,377.724,70,1.96,4,90,80,70,1,1,-0.07,0.35,-0.5
A14,391.2985,70,1.96,4,90,80,70,1,1,0.34,-0.4,0.47
C14,393.2008,70,1.96,4,90,80,70,0,0,0.22,0.42,0.6
A15,379.5951,70,1.96,4,90,80,70,0,1,-0.08,-0.39,-1.17
D15,372.5182,70,1.96,4,90,80,70,1,1,-0.89,0.27,1.3
A16,405.1832,70,1.96,4,90,80,70,1,2,0.68,0.16,-0.41
A17,407.9915,70,1.96,4,90,80,70,1,2,-0.71,-0.17,-0.11
B17,406.0496,70,1.96,4,90,80,70,1,2,0.35,-0.31,-1.67
C17,400.3819,70,1.96,4,90,80,70,0,0,0.41,0.36,1.43
B19,374.0606,70,1.96,4,90,80,70,0,0,-0.2,0.7,1.48
A20,378.3628,70,1.96,4,90,80,70,0,0,0.07,-0.09,1.17
SG11,392.1427,70,1.96,4,90,80,70,1,2,-0.03,-0.47,-0.02
D16,385.4658,80,2.29,4,90,80,70,1,2,0.33,1.32,0.29
E15,380.358,80,2.29,4,90,80,70,1,1,-0.97,0.28,0.56
A013,381.1133,80,2.29,4,90,80,70,0,0,-0.78,-0.02,-1.02
A11,384.4942,80,2.29,4,90,80,70,0,3,-0.56,-0.63,0.04
D11,384.8135,80,2.29,4,90,80,70,1,3,0.9,0.05,0.84
B12,358.4024,80,2.29,4,90,80,70,0,3,-0.29,0.05,-1.48
F12,370.1451,80,2.29,4,90,80,70,0,0,-0.12,-0.76,-0.56
H12,389.1194,80,2.29,4,90,80,70,1,1,0.6,-0.34,-2.04
B13,384.5465,80,2.29,4,90,80,70,0,0,0.33,-0.4,0.13
D13,377.724,80,2.29,4,90,80,70,1,1,-0.63,0.46,-1.7
A14,391.2985,80,2.29,4,90,80,70,1,1,-0.49,-0.75,0.35
C14,393.2008,80,2.29,4,90,80,70,0,0,-0.91,-0.07,2.05
A15,379.5951,80,2.29,4,90,80,70,0,1,0.69,-0.66,-0.81
D15,372.5182,80,2.29,4,90,80,70,1,1,-0.35,0.24,1.32
A16,405.1832,80,2.29,4,90,80,70,1,2,0.52,0.08,0.79
A17,407.9915,80,2.29,4,90,80,70,1,2,0.22,-0.87,-1.24
B17,406.0496,80,2.29,4,90,80,70,1,2,0.98,-0.55,-0.03
C17,400.3819,80,2.29,4,90,80,70,0,0,-0.16,-0.43,-1.99
B19,374.0606,80,2.29,4,90,80,70,0,0,1.01,0.82,0.37
A20,378.3628,80,2.29,4,90,80,70,0,0,-0.15,0.8,-0.25
SG11,392.1427,80,2.29,4,90,80,70,1,2,-0.44,0.33,-1.67
D16,385.4658,90,2.57,4,90,80,70,1,2,0.7,0.49,1.05
E15,380.358,90,2.57,4,90,80,70,1,1,-1,-0.21,2.12
A013,381.1133,90,2.57,4,90,80,70,0,0,-0.2,-0.52,0.17
A11,384.4942,90,2.57,4,90,80,70,0,3,0.81,-0.03,-0.08
D11,384.8135,90,2.57,4,90,80,70,1,3,0.27,-0.92,1.54
B12,358.4024,90,2.57,4,90,80,70,0,3,-0.56,0.84,-0.71
F12,370.1451,90,2.57,4,90,80,70,0,0,0.1,0.52,-0.2
H12,389.1194,90,2.57,4,90,80,70,1,1,0.81,-0.26,-0.3
B13,384.5465,90,2.57,4,90,80,70,0,0,0.52,-0.42,-1.16
D13,377.724,90,2.57,4,90,80,70,1,1,-0.22,-0.01,-0.09
A14,391.2985,90,2.57,4,90,80,70,1,1,1,0.23,-0.61
C14,393.2008,90,2.57,4,90,80,70,0,0,0.52,0.74,-1.64
A15,379.5951,90,2.57,4,90,80,70,0,1,-0.31,-0.05,1.27
D15,372.5182,90,2.57,4,90,80,70,1,1,-0.92,-0.22,2.01
A16,405.1832,90,2.57,4,90,80,70,1,2,0.28,-0.5,1.75
A17,407.9915,90,2.57,4,90,80,70,1,2,-0.74,-0.66,-0.23
B17,406.0496,90,2.57,4,90,80,70,1,2,0.43,-0.16,-2.34
C17,400.3819,90,2.57,4,90,80,70,0,0,-0.68,-1.01,0.67
B19,374.0606,90,2.57,4,90,80,70,0,0,0.52,0.84,-1.2
A20,378.3628,90,2.57,4,90,80,70,0,0,-0.06,-0.73,1.25
